iter	Passed	Remaining
0	180	180476
1	210	104989
2	238	79259
3	266	66319
4	291	58068
5	318	52800
6	345	48992
7	372	46217
8	400	44079
9	427	42331
10	456	41048
11	483	39817
12	510	38768
13	541	38156
14	573	37658
15	599	36850
16	626	36198
17	653	35653
18	680	35117
19	706	34611
20	732	34151
21	758	33738
22	786	33405
23	812	33031
24	838	32702
25	866	32444
26	891	32142
27	920	31958
28	948	31746
29	973	31492
30	1001	31306
31	1027	31080
32	1055	30923
33	1084	30819
34	1113	30699
35	1140	30546
36	1166	30353
37	1191	30158
38	1215	29959
39	1241	29804
40	1269	29696
41	1296	29572
42	1322	29429
43	1348	29299
44	1374	29171
45	1400	29048
46	1425	28895
47	1451	28785
48	1478	28691
49	1505	28600
50	1530	28483
51	1558	28412
52	1586	28343
53	1613	28263
54	1640	28193
55	1667	28114
56	1694	28040
57	1720	27951
58	1749	27898
59	1775	27809
60	1800	27722
61	1826	27633
62	1851	27539
63	1877	27454
64	1903	27378
65	1908	27014
66	1935	26946
67	1961	26885
68	1988	26832
69	2014	26769
70	2042	26728
71	2069	26669
72	2096	26625
73	2123	26570
74	2153	26556
75	2181	26523
76	2207	26463
77	2232	26384
78	2257	26320
79	2284	26267
80	2309	26202
81	2335	26145
82	2362	26101
83	2389	26052
84	2416	26016
85	2442	25960
86	2468	25905
87	2496	25872
88	2523	25828
89	2551	25799
90	2579	25768
91	2606	25728
92	2632	25672
93	2657	25615
94	2684	25571
95	2710	25526
96	2736	25473
97	2764	25440
98	2791	25409
99	2819	25379
100	2847	25346
101	2874	25305
102	2909	25339
103	2962	25520
104	3015	25700
105	3068	25877
106	3121	26055
107	3179	26259
108	3231	26416
109	3281	26554
110	3336	26718
111	3390	26882
112	3443	27030
113	3496	27173
114	3550	27325
115	3607	27491
116	3659	27615
117	3708	27721
118	3760	27838
119	3815	27978
120	3868	28100
121	3920	28214
122	3972	28324
123	4029	28464
124	4083	28583
125	4138	28708
126	4190	28804
127	4244	28914
128	4298	29022
129	4352	29126
